Date,Open,High,Low,Close,Adj Close,Volume
2014-08-18,117.209999,117.430000,115.570000,117.290001,100.794693,37748400
2014-08-25,117.449997,119.430000,117.209999,119.050003,102.307167,36490600
2014-09-01,117.279999,117.379997,115.440002,115.730003,99.454079,36474800
2014-09-08,116.410004,116.629997,113.220001,113.379997,97.656868,43798600
2014-09-15,113.849998,114.680000,112.730003,114.599998,98.707695,48000500
2014-09-22,114.660004,116.290001,114.440002,116.000000,99.913567,34950300
2014-09-29,117.000000,118.260002,116.129997,117.699997,101.377808,48077500
2014-10-06,117.620003,120.080002,117.360001,120.050003,103.659569,41780600
2014-10-13,120.160004,127.680000,120.050003,121.070000,104.540291,81764500
2014-10-20,121.779999,121.849998,119.059998,119.720001,103.374596,43398600
2014-10-27,119.889999,120.459999,118.419998,119.250000,102.968796,31326900
2014-11-03,118.900002,119.910004,118.209999,119.750000,103.400528,32643400
2014-11-10,119.580002,119.589996,118.339996,119.489998,103.427544,20911700
2014-11-17,119.779999,120.160004,118.760002,120.099998,103.955551,24313600
2014-11-24,119.669998,122.669998,119.550003,122.489998,106.024261,19705200
2014-12-01,122.680000,122.809998,120.129997,121.089996,104.812439,30635600
2014-12-08,121.419998,126.349998,121.139999,126.300003,109.569893,36281600
2014-12-15,125.639999,127.720001,124.199997,125.870003,109.196854,49025300
2014-12-22,125.449997,126.190002,122.930000,124.410004,107.930229,19317600
2014-12-29,124.910004,127.660004,124.809998,127.320000,110.688629,22868600
2015-01-05,128.009995,132.490005,127.959999,131.070007,113.948799,55337800
2015-01-12,131.000000,135.029999,130.919998,133.190002,115.791847,48088100
2015-01-19,134.130005,135.589996,132.279999,134.770004,117.165482,35097200
2015-01-26,134.839996,138.500000,134.050003,138.279999,120.216980,50029000
2015-02-02,136.699997,137.919998,130.589996,130.960007,113.853149,61079200
2015-02-09,131.970001,131.979996,128.089996,128.190002,111.670334,43696100
2015-02-16,127.800003,128.009995,125.919998,126.540001,110.232933,50065300
2015-02-23,127.190002,130.389999,127.160004,129.529999,112.837616,47724200
2015-03-02,129.000000,129.070007,122.970001,123.500000,107.584702,52469800
2015-03-09,124.680000,128.199997,124.129997,126.720001,110.604912,42373200
2015-03-16,127.940002,131.699997,127.269997,131.509995,114.785736,42168100
2015-03-23,131.699997,132.759995,129.179993,131.059998,114.393005,35348500
2015-03-30,130.899994,132.479996,129.910004,130.729996,114.104965,29792200
2015-04-06,131.429993,131.479996,129.130005,129.619995,113.372940,27394800
2015-04-13,129.529999,131.860001,129.389999,131.449997,114.973534,28865600
2015-04-20,130.940002,131.009995,127.540001,129.070007,112.891869,30837200
2015-04-27,129.070007,129.500000,123.690002,124.000000,108.457359,48608500
2015-05-04,124.300003,124.529999,120.370003,122.510002,107.374069,61085300
2015-05-11,121.620003,121.910004,118.639999,121.589996,106.567764,67119300
2015-05-18,120.320000,120.750000,118.129997,120.400002,105.524750,43611900
2015-05-25,120.839996,123.570000,120.739998,122.709999,107.549347,31109600
2015-06-01,122.110001,122.379997,117.199997,117.599998,103.070702,60054700
2015-06-08,117.959999,119.070000,115.260002,117.949997,103.600327,51623900
2015-06-15,118.889999,119.190002,116.750000,119.080002,104.592873,49429200
2015-06-22,117.839996,118.139999,114.879997,115.230003,101.211266,47275300
2015-06-29,116.959999,118.699997,115.430000,116.000000,101.887589,49735500
2015-07-06,118.050003,120.570000,115.760002,116.050003,102.155884,61463200
2015-07-13,115.389999,118.889999,115.389999,118.720001,104.506226,35666300
2015-07-20,118.290001,121.550003,117.660004,121.389999,106.856537,34193000
2015-07-27,122.190002,122.900002,120.419998,122.529999,107.860054,39331600
2015-08-03,122.320000,124.500000,121.190002,124.339996,109.453362,40212000
2015-08-10,123.410004,125.709999,122.519997,123.959999,109.357193,39078700
2015-08-17,124.709999,126.739998,122.989998,126.400002,111.509712,43437200
2015-08-24,128.309998,128.919998,121.360001,122.360001,107.945663,67521300
2015-08-31,123.360001,123.470001,120.709999,122.680000,108.227928,48424800
2015-09-07,121.379997,122.080002,119.559998,121.389999,107.322365,27172000
2015-09-14,121.949997,122.199997,118.550003,122.099998,107.950089,57873400
2015-09-21,121.010002,123.680000,119.779999,121.540001,107.455002,44813200
2015-09-28,122.199997,126.209999,122.199997,124.559998,110.125053,50741900
2015-10-05,123.720001,123.830002,121.660004,122.279999,108.333755,45683700
2015-10-12,123.029999,124.550003,122.800003,123.930000,109.795532,35098900
2015-10-19,123.790001,124.779999,122.550003,123.199997,109.148788,33265800
2015-10-26,123.870003,124.900002,121.699997,122.779999,108.776688,45454700
2015-11-02,121.779999,122.180000,118.739998,119.000000,105.427834,41526500
2015-11-09,118.099998,119.900002,118.000000,119.680000,106.261345,33442200
2015-11-16,119.790001,121.150002,118.660004,120.449997,106.945007,28456100
2015-11-23,120.529999,121.419998,120.320000,120.970001,107.406700,14659300
2015-11-30,121.099998,123.040001,118.989998,120.580002,107.060448,53748200
2015-12-07,120.809998,124.099998,120.510002,123.760002,110.116898,43175000
2015-12-14,123.080002,123.519997,120.500000,123.230003,109.645348,50539900
2015-12-21,123.430000,123.779999,120.870003,121.830002,108.399673,23592400
2015-12-28,121.989998,122.669998,119.669998,120.580002,107.512451,28780700
2016-01-04,121.930000,123.470001,120.660004,123.360001,109.991135,45530800
2016-01-11,122.040001,125.959999,121.860001,125.750000,112.122124,65365700
2016-01-18,125.129997,127.919998,124.519997,125.339996,111.756554,47375800
2016-01-25,125.949997,127.860001,125.190002,127.300003,113.504135,43134700
2016-02-01,126.790001,129.940002,126.290001,128.720001,114.770264,52811700
2016-02-08,129.720001,135.250000,129.679993,131.500000,117.471390,77990000
2016-02-15,130.720001,131.820007,128.710007,131.009995,117.033630,43308700
2016-02-22,131.100006,133.389999,129.779999,130.410004,116.497665,37808400
2016-02-29,130.470001,131.169998,127.760002,128.600006,114.880783,43874700
2016-03-07,128.449997,130.990005,127.209999,127.360001,113.988876,38882000
2016-03-14,127.820000,129.509995,127.370003,129.059998,115.510345,37323200
2016-03-21,128.250000,130.639999,127.750000,129.539993,115.939995,27484200
2016-03-28,129.380005,131.130005,128.979996,130.679993,116.960320,40107800
2016-04-04,130.789993,132.990005,130.270004,132.009995,118.395447,29569700
2016-04-11,131.320007,132.179993,130.490005,131.880005,118.278839,27087500
2016-04-18,131.330002,131.649994,128.240005,128.360001,115.121849,37600100
2016-04-25,128.059998,129.710007,127.120003,129.380005,116.036659,37150500
2016-05-02,128.660004,131.070007,127.800003,130.449997,116.996361,44086000
2016-05-09,130.460007,132.320007,130.320007,132.279999,118.876450,33333400
2016-05-16,131.639999,131.830002,128.910004,130.149994,116.962296,33825400
2016-05-23,130.360001,130.729996,129.240005,129.850006,116.692711,30002200
2016-05-30,129.020004,133.229996,128.979996,133.229996,119.730194,35131800
2016-06-06,132.779999,135.330002,132.100006,134.779999,121.372154,31372000
2016-06-13,135.089996,137.559998,134.770004,135.610001,122.119530,43111600
2016-06-20,134.240005,136.610001,132.080002,135.779999,122.272652,45329500
2016-06-27,138.440002,140.820007,138.089996,140.570007,126.586189,73712000
2016-07-04,141.850006,143.619995,141.699997,143.600006,129.552551,43225300
2016-07-11,143.050003,143.470001,138.179993,138.389999,124.852196,52866900
2016-07-18,139.070007,139.309998,136.990005,138.800003,125.222115,37182100
2016-07-25,138.940002,141.679993,138.460007,141.559998,127.712151,34098100
2016-08-01,139.779999,140.500000,137.500000,138.000000,124.500359,38215700
2016-08-08,137.600006,140.860001,137.320007,140.080002,126.607643,32146100
2016-08-15,139.339996,139.759995,138.100006,138.710007,125.369461,25614800
2016-08-22,139.649994,140.690002,138.220001,138.360001,125.053078,37236900
2016-08-29,139.380005,140.350006,138.169998,138.630005,125.297050,37368000
2016-09-05,138.710007,140.419998,135.410004,135.520004,122.709061,41613600
2016-09-12,135.320007,136.000000,133.029999,134.750000,122.011856,49162100
2016-09-19,134.520004,137.339996,134.179993,136.820007,123.886147,42213800
2016-09-26,137.070007,139.149994,136.869995,137.509995,124.510933,46137300
2016-10-03,137.679993,137.770004,133.089996,133.919998,121.260307,46348300
2016-10-10,132.850006,133.929993,131.529999,131.589996,119.364960,41837600
2016-10-17,132.100006,133.750000,131.830002,133.309998,120.925163,39993200
2016-10-24,133.410004,133.559998,130.059998,130.449997,118.330887,35070400
2016-10-31,130.889999,132.110001,129.880005,131.740005,119.501015,42044100
2016-11-07,130.750000,131.210007,121.650002,122.040001,110.913460,77198100
2016-11-14,121.279999,123.139999,120.339996,120.849998,109.831947,67086900
2016-11-21,121.209999,121.760002,119.250000,120.820000,109.804680,33167800
2016-11-28,121.410004,122.400002,117.639999,119.599998,108.695908,72284700
2016-12-05,118.930000,120.620003,117.279999,117.500000,107.003624,60706400
2016-12-12,117.269997,119.209999,116.800003,117.139999,106.675781,65629000
2016-12-19,117.980003,118.580002,117.379997,118.050003,107.504494,32163000
2016-12-26,117.419998,119.650002,117.230003,119.129997,108.772057,32050500
2017-01-02,118.410004,122.029999,118.180000,120.860001,110.351601,41552000
2017-01-09,121.879997,123.139999,120.620003,121.309998,110.762512,46457100
2017-01-16,122.809998,122.940002,119.290001,119.940002,109.511597,45666800
2017-01-23,120.339996,121.870003,118.330002,119.629997,109.228592,47654200
2017-01-30,119.440002,120.400002,118.470001,119.000000,108.653366,48097700
2017-02-06,119.760002,122.269997,119.120003,120.760002,110.498596,57455500
2017-02-13,120.250000,120.699997,118.650002,120.320000,110.095985,51120500
2017-02-20,119.680000,122.139999,119.589996,122.010002,111.642418,33472100
2017-02-27,121.809998,122.080002,118.550003,119.349998,109.208420,47883800
2017-03-06,119.120003,119.120003,116.680000,117.250000,107.493500,42699500
2017-03-13,116.830002,118.830002,116.489998,118.639999,108.767830,46747800
2017-03-20,118.550003,121.169998,118.500000,120.879997,110.821419,42266000
2017-03-27,121.830002,121.970001,120.209999,120.709999,110.665588,32167900
2017-04-03,120.449997,122.250000,120.360001,120.709999,110.665588,45295400
2017-04-10,121.139999,123.739998,121.000000,123.470001,113.435539,36541100
2017-04-17,123.459999,124.980003,122.860001,123.540001,113.499863,44620100
2017-04-24,122.550003,123.160004,121.379997,122.349998,112.406586,35099500
2017-05-01,121.690002,122.389999,120.669998,121.290001,111.432716,39769200
2017-05-08,121.110001,121.489998,119.910004,121.389999,111.757515,35055200
2017-05-15,121.059998,123.940002,120.750000,123.709999,113.893417,42760200
2017-05-22,123.410004,123.739998,122.480003,123.480003,113.681656,28748000
2017-05-29,124.029999,125.769997,123.660004,125.620003,115.651855,35101900
2017-06-05,124.900002,125.870003,123.980003,124.400002,114.771324,46358500
2017-06-12,124.209999,126.709999,123.989998,126.349998,116.570366,41826900
2017-06-19,126.320000,127.900002,126.029999,127.779999,117.889694,30899800
2017-06-26,128.270004,128.570007,124.849998,125.120003,115.435600,40559300
2017-07-03,125.000000,125.040001,122.589996,122.720001,113.221352,42670500
2017-07-10,122.870003,124.160004,122.680000,123.330002,114.019241,30140800
